substage_ID	substage_name
3002	Surviving Herd
3003	Alien Ecology
3004	Heavenly Creatures
3005	Conservation Society
3100	Rinrin Shelterbelt
3101	Iberian Plains
3102	Weeping Dunes
3103	Golden Gai
3104	Leadfoot Drive
3105	Trouble at the Mansion
3200	Pecking Order
3201	Technocracy
3202	Merciless Onslaught
3203	Celestial Seas
3204	Close Encounters
3205	The Spy Who Pet Me
3300	Home Sweet Mausoleum
3301	Swamp of Sacrifice
3302	Dungeon of Dreams
3303	Revenant Road
3304	Ghostlight Gardens
3305	Silenced Meowing
3400	Virus Smugglers
3401	Bionic Seaweed
3402	Ancestral Ways
3403	High Watchtower
3404	Tunafish Trenches
3405	The Infected King
3500	Greeter at the Gates
3501	Rickety Coaster
3502	Virtual Nightmare
3503	50 Degrees Hotter
3504	Irresistable Henhouse
3505	The Haunted 1LDK
3600	Paparazzi Paradise
3601	Gossip Rags
3602	Beverly Hills Scoop
3603	Lovechild Lane
3604	Saucy Scandals
3605	Multiversal Studios
3700	Swim Meet
3701	Sea Breeze Salon
3702	Deep Sea Dying
3703	Procrastinator Parade
3704	Grand Exhibition
3705	No Return Flights
3800	Electric Bath
3801	Boiling Spring
3802	Mineral Treatment
3803	Soap Scum
3804	The Sauna Crew
3805	Steamed to Death
3900	Narrow Docks
3901	Romantic Highway
3902	Drunken Backrub
3903	Gulag of Love
3904	Perfume Room
3905	Houses of the Holy
4000	Caliban's Keeper
4001	Dial-Up Dreams
4002	Throne of Phone
4003	OS Graveyard
4004	The Holy Exploit
4005	Broadband Omens
4100	Cubist Crimes
4101	Surrealist Sins
4102	Gouache Ghouls
4103	Death by Dada
4104	Baroque Beasts
4105	Atrocious Deco
4200	Roswell Incident
4201	Cat Abduction
4202	Adamski Type
4203	Chupacabra Love
4204	Tunguska Event
4205	Offworld Weary
4300	Eat the Weak
4301	Nikumanjaro
4302	The Noble Tribe
4303	Dry Season
4304	Electrosafari
4305	Heaven's Oasis
4400	Shiver Junction
4401	Leaky Tunnel
4402	Frostbite Park
4403	Toasty Turnpike
4404	Sleepy Signals
4405	Scorched Tollbooth
4500	Ubiquitous Sales
4501	Virtual Harvest
4502	Wearable Homes
4503	8K Fertilizer
4504	Blockchain Twilight
4505	Haunted Genome
4600	Ultimate Shrine
4601	Valley of the End
4602	Final Tower
4603	Last Labyrinth
4604	Cave Conclusion
4605	Apocalypse Temple
4700	A Day of Reckoning
4701	Thirst for Vengeance
4702	Glory of Glories
4703	A Moment of Serenity
4704	False Resurrection
4705	Goblet of the Oath
4706	Twilight Zephyr
4707	Unkept Promises
4800	Eldritch Forces
100000	Rich Cat (Easy)
100001	Rich Cat (Normal)
100002	Rich Cat (Hard)
100100	Speed Cat (Easy)
100101	Speed Cat (Normal)
100102	Speed Cat (Hard)
100200	Cat Jobs (Easy)
100201	Cat Jobs (Normal)
100202	Cat Jobs (Hard)
100300	Sniper Cat (Easy)
100301	Sniper Cat (Normal)
100302	Sniper Cat (Hard)
100400	Helpful Cat (Easy)
100401	Helpful Cat (Normal)
100402	Helpful Cat (Hard)
100500	Sweet XP (Easy)
100501	Sweet XP (Normal)
100502	Sweet XP (Hard)
100600	Love, Metal Hippoe (Hard)
100700	Super Metal Hippoe (Expert)
100800	Athletic Meet
100801	Anti Halloween
100802	Winning and Losing
100900	Weeklong Meetings
100901	Co-workers don't work
100902	Stress Relief Stress
100903	Jobs in Jobs Security
100904	Pay without Leave
100905	Value of Last Minute
101000	That Night
101001	That Song
101002	Warm Stew
101003	Cat & Snow
101004	Part Time Santa
101005	Santa or Satan!?
101006	Santa is on Salary
101007	Happy Merry X-mas
101100	No Happy Holidays
101101	Holiday Diet Fail
101102	No More Resolutions
101103	Just One More Drink
101104	After After Party
101105	Forgot the Countdown
101106	Blackout
101107	Hangover
101200	Angelic Devil
101201	Dracula Donates Blood
101202	My Pet Werewolf
101203	Sunbathing Mummies
101204	Soul Leasing
101205	Lucifer Likes to Smile
101206	Zombies being Healthy
101207	Humans are Scarier
101300	Bear Grills
101301	Bearly Dressed
101302	With a Ton of Padding
101303	Bees with Ears
101304	Arming Bears
101305	Going Bipolar
101306	Fighting Bearhanded
101307	Can't Bear Anymore
101400	Attack on R-Cyclone (Expert)
101500	Attack on B-Cyclone (Expert)
101600	Attack on W-Cyclone (Expert)
101700	Dark Souls (Insane)
101800	Absolute Defence (Insane)
101900	Berserk (Insane)
102000	Festival Gross (Insane)
102100	Head Shaker (Insane)
102200	Flappy Cat (Insane)
102300	Fish Hell (Insane)
102400	Mammals? (Insane)
102500	Crazy Cats (Insane)
102600	Cat School Musical
102601	I can feel it
102602	The Catbook
102603	P.S Cat Loves You
102604	100 Cat Dates
102605	Lament
102606	I L U
102607	Let's Start Over
102700	Sweet XP (Easy)
102701	Sweet XP (Normal)
102702	Sweet XP (Hard)
102703	Sweet XP (Veteran)
102704	Sweet XP (Expert)
102705	Sweet XP (Insane)
102800	Sweet XP (Easy)
102801	Sweet XP (Normal)
102802	Sweet XP (Hard)
102803	Sweet XP (Veteran)
102804	Sweet XP (Expert)
102805	Sweet XP (Insane)
102900	Liking Love
102901	No More Duckface!
102902	Read but No Reply
102903	Online Dating!
102904	Blocked on FB!
102905	Work or Me!
102906	Let's Just Be Friends
102907	Never Give Up!
103000	Wedding Toils
103001	Sending a Friend
103002	BGM is "Macarena"
103003	Bouquet Finds Water
103004	Family Drama Woes
103005	Mistook Bride's Name
103006	Ex says I object
103007	… No, I Do Not
103100	Glutton Next Door
103101	Summer Already?
103102	Something About Cats
103103	Summertime Smoothie
103104	Starving in Summer
103105	Boy Meats Girl
103106	Sandbags on the Cape
103107	Right here, right meow
103200	Dad's back to haunt us
103201	But we're on vacation
103202	Can't pass thru walls?
103203	Just hit the skies!
103204	Wasting inheritance
103205	Hiring fake mourners
103206	Grave is just plastic…
103207	I'm not here anymore.
103300	Special Thanks! (Insane)
103400	Ultra Stress! (Insane)
103500	Miracle Tactics! (Insane)
103600	Dawn Joggers
103601	Day Job = Boxers
103602	Escaping the Home
103603	300 Years Probation
103604	Bearhanded Brawler
103605	Trophy Wives
103606	Living the Dream
103607	Wife Still the Boss
103700	ケリ技の極み！
103800	Gotta Warm Up First
103801	Awkward Entrance
103802	Dad, No Videos!
103803	The Sack Race
103804	Faster Barefoot
103805	Egg-Glue-Spoon
103806	Chicken Run
103807	Everyone Wins
103900	Oncoming Maelstrom (Expert)
104000	Grats! 2 Years!!
104100	Grats! 2 Years!!
104200	Grats! 2 Years!!
104300	Attack on Titanium (Insane)
104400	First Sunrise!
104500	Taking the Stage (Veteran)
104501	Taking the Stage (Insane)
104600	Path of Kung-Fu (Expert)
104601	Path of Kung-Fu (Insane)
104700	Mr.-ious Evolution (Expert)
104701	Mr.-ious Evolution (Insane)
104800	Bound to Evolve (Expert)
104801	Bound to Evolve (Insane)
104900	Whipped into Shape (Expert)
104901	Whipped into Shape (Insane)
105000	Boxing Clever (Expert)
105001	Boxing Clever (Insane)
105100	No Frills Evolution (Expert)
105101	No Frills Evolution (Insane)
105200	Hell on 3 Wheels (Expert)
105201	Hell on 3 Wheels (Insane)
105300	Way of the Ninja (Veteran)
105301	Way of the Ninja (Insane)
105400	Shambling Along (Expert)
105401	Shambling Along (Insane)
105500	Way of the Samurai (Veteran)
105501	Way of the Samurai (Insane)
105600	Oh Yokozuna! (Expert)
105601	Oh Yokozuna! (Insane)
105700	Boogie Up (Expert)
105701	Boogie Up (Insane)
105800	Skirting Danger (Veteran)
105801	Skirting Danger (Insane)
105900	Refined Palate (Insane)
106000	Mallow March
106001	Marzi Pain
106002	Cavity Creeping
106100	Eastern Cave
106200	Western Walk
106300	Southern Fort
106400	Northern Crater
106500	Poppin' in 3D!
106501	Fight your Friends!
106502	Player VS Player
106503	Pay Only Once!
106504	No I-A-P!
106505	Get Those Ubers
106506	Conquer the Galaxy
106507	But the App's Fun Too :)
106600	Black Hole Rising (Insane)
106700	TWその１
106800	Joy of 20 Million!
106900	Tornado Carnival (Deadly)
106901	Awakened Carnival (Deadly)
107000	Wonderful Conquest (Insane)
107100	Faster Than Fast Food
107200	Sweet Samhain
107201	Lantern O'Jack
107202	Cosplay Carnival
107203	Trick or Treatment
107204	Hello Hello Halloween
107205	Harvest Festival
107300	Rich Cat (Veteran)
107400	Speed Cat (Veteran)
107500	Cat Jobs (Veteran)
107600	Sniper Cat (Veteran)
107700	Helpful Cat (Veteran)
107800	Steel Visage (Deadly)
107900	Elite Corps (Insane)
108000	Grats! 3 Years!!
108100	Coming to Town!
108101	Reindeer Games
108102	Whipped Cream
108103	Coup d'Workshop
108104	War on Xmas
108200	Year's First Dawn!
108300	Growing Up (Expert)
108301	Growing Up (Insane)
108400	Something Wicked (Expert)
108401	Something Wicked (Insane)
108500	Dolled Up (Expert)
108501	Dolled Up (Insane)
108600	Order Maiden (Expert)
108601	Order Maiden (Insane)
108700	Carp A Diem (Expert)
108701	Carp A Diem (Insane)
108800	Bridal Blues (Expert)
108801	Bridal Blues (Insane)
108900	End of Holiday (Expert)
108901	End of Holiday (Insane)
109000	No Need to Curse! (Expert)
109001	No Need to Curse! (Insane)
109100	Old Master (Expert)
109101	Old Master (Insane)
109200	Sweat and Tears (Expert)
109201	Sweat and Tears (Insane)
109300	Nine to Five Fever (Expert)
109301	Nine to Five Fever (Insane)
109400	Reindeer Road (Expert)
109401	Reindeer Road (Insane)
109500	No Plan A (Deadly)
109600	Oncoming Storm (Insane)
109700	Green Envy (Hard)
109701	Green Envy (Expert)
109702	Green Envy (Insane)
109800	Violet Flash (Hard)
109801	Violet Flash (Expert)
109802	Violet Flash (Insane)
109900	Red Passions (Hard)
109901	Red Passions (Expert)
109902	Red Passions (Insane)
110000	Blue Illusion (Hard)
110001	Blue Illusion (Expert)
110002	Blue Illusion (Insane)
110100	Rays of Gold (Hard)
110101	Rays of Gold (Expert)
110102	Rays of Gold (Insane)
110200	Deathhawk (Deadly)
110300	Vulcanizer (Deadly)
110400	Unjust War (Deadly)
110500	Muscle Party (Deadly)
110600	Lots O' Lion (Deadly)
110700	Forest Beasts (Deadly)
110800	Ogre Island (Deadly)
110900	Draconian (Deadly)
111000	Resident Feline (Deadly)
111100	Tragedy in Red (Insane)
111200	Explosion in the Sky (Insane)
111300	みやこめっせで開催！
111400	Nuts 'n' Bolts (Expert)
111500	Short Shorts
111501	Squirtgun Warfare
111502	Candy Apple Dentistry
111503	Mosquito Hell
111504	Sparkler Heaven
111505	Backyard BBQ
111600	Sender Unknown
111700	Realm of Carnage (Deadly)
111800	Green Envy (Hard)
111801	Green Envy (Expert)
111802	Green Envy (Insane)
111900	Honey Trap (Deadly)
112000	Tornado Carnival II (Deadly)
112001	Awakened Carnival II (Deadly)
112100	Meatless Wieners
112101	Deep Fried Air
112102	Burnt to Perfection
112103	Not Quite Organic
112104	Outta Change...
112105	Always In the Red
112200	Unholy Tempest (Insane)
112300	Four Years of Fun!!
112400	Tempered in Flame (Deadly)
112500	Langue de Chat
112501	White Dove
112502	Snow at Dawn
112503	Buddha of Romance
112504	Icy Desire
112600	Year's First Dawn
112700	Savage Instinct
112701	Bloodstained Claws
112702	The 222 Incident
112800	Parade of the Dead (Deadly)
112900	Season of Rebirth
112901	Bunny Bros.
112902	Island Egg Hunt
112903	Native Cultures
112904	Most Ancient
112905	Rongorongo
113000	Tiny Meows (Deadly)
113100	Tiny Will (Deadly)
113200	Tiny Chopper (Deadly)
113300	Tiny Creeper (Deadly)
113400	Tiny Horns (Deadly)
113500	Tiny Wings (Deadly)
113600	Tiny Fins (Deadly)
113700	Tiny Tail (Deadly)
113800	Tiny Fists (Deadly)
113900	We're Number One
114000	Gold in a Coal Mine
114001	I My Me Miner
114002	Golden Age's Dawn
114003	Never Not Shovelin'
114004	Dreams Come False
114100	みやこめっせで開催！
114200	Rainy Day Races
114201	Tinpot Trophy
114202	Stormcloud Stakes
114203	Paradise Derby
114204	Slimy Stallions
114300	Kartopia (Expert)
114301	Kartopia (Insane)
114400	144_その１
114500	Joy of 30 Million!
114600	Megaton Blast (Insane)
114700	None More Squishy
114800	Bloomin' Brightly (Easy)
114900	Kids At School
114901	I Am A Cat
114902	c2 ＝ a2 ＋ b2
114903	War of the Roses
114904	N2+3H2→2NH3
115000	Impact Site (Normal)
115001	Impact Site (Veteran)
115002	Impact Site (Insane)
115100	Brushfire (Normal)
115101	Brushfire (Veteran)
115102	Brushfire (Insane)
115200	Ancient Ruins (Normal)
115201	Ancient Ruins (Veteran)
115202	Ancient Ruins (Insane)
115300	Value Ordeal (Normal)
115400	No Shame in 2nd
115401	Silver Anniversary
115402	A Distant Road
115500	Taste of Success (Merciless)
115600	Five Years of Fun!!
115700	The Wormhole Opens (Deadly)
115800	N-1 Grand Prix (Deadly)
115900	Year's First Dawn
116000	Pencil Launcher
116001	Demon Drill Sgt
116002	One-Use Cannon
116003	Sanitary Corps
116004	Cat Army's Day Off
116100	in JAPAN
116101	in LONDON
116102	in NEW YORK
116200	An Elder Secret (Merciless)
116300	みやこめっせで開催！
116400	Rainy Day Races
116401	Tinpot Trophy
116402	Stormcloud Stakes
116403	Paradise Derby
116404	Slimy Stallions
116500	The Ex Appears
116501	Awkward S.O.
116502	Family Feuding
116503	Double Proposal
116504	Show Me The Stars
116600	Leak Year
116601	Cats of Yesterday
116602	Heat Wave Blues
116603	Lazy Tomorrow
116604	Young Nyan
116700	Dad's Back to Heaven
116701	Long Line at Cerberus
116702	Charon's Overbooked
116703	Still on Vacation
116704	See You Next Year
116800	Night Shuffleboard
116801	Twilight Wandering
116802	5 Secret Families
116803	Two Years Cursed
116804	The Wife Still Wins
116900	Wrath of R-Cyclone (Insane)
116901	Revenge of R-Cyclone (Deadly)
117000	Inviting Cemetary
117001	2 Bodies, 0 Legs
117002	Grave Bouquet
117003	Fallen Priest
117004	Hours 'Til Morning
117100	Premium Friday
117101	Total Professional
117102	CORE TIME
117103	Maternity Leave Forever
117104	Late Nite Shake-Up
117200	Wrath of B-Cyclone (Insane)
117201	Revenge of B-Cyclone (Deadly)
117300	Forged to Kill (Deadly)
117400	Meatless Wieners
117401	Deep Fried Air
117402	Burnt to Perfection
117403	Not Quite Organic
117404	Outta Change...
117405	Always In the Red
117500	That's Not Santa...
117501	Jingle Hell
117502	Not-so-Silent Night
117503	Present Hunters
117504	Cosmic Xmas
117600	Wrath of W-Cyclone (Insane)
117601	Revenge of W-Cyclone (Deadly)
117700	Bombergirl (Deadly)
117800	Sands of the East
117900	Wastes of the West
118000	Peaks of the South
118100	Ruins of the North
118200	Presents of Mind (Insane)
118300	6 Years of Fun!!
118400	Chores Unending
118401	Unknown Relatives
118402	I Hope It's an Uber
118403	Different from the Ad
118404	Just What I Wanted
118500	Wrath of A-Cyclone (Insane)
118501	Revenge of A-Cyclone (Deadly)
118600	Hang onto Happiness
118601	Silent Family
118602	Eat Happy Sushi
118603	Expired Joy
118604	Sins and Blessings
118700	Wrath of Titanium (Deadly)
118701	Revenge of Titanium (Deadly)
118800	New Year's Dawn
118900	Charybdis' Mouth (Merciless)
119000	Tornado Carnival III (Deadly)
119001	Awakened Carnival III (Deadly)
119100	Joy of 40 Million!
119200	Hibernation's End
119201	2 Much 2 Bear
119202	Grizzled Veterans
119203	What We Do In The Woods
119204	Bear in Mind
119300	Wrath of Black Hole (Deadly)
119301	Revenge of Black Hole (Deadly)
119400	Faculty Change
119401	You in a Petri Dish
119402	Dangerous Equations
119403	Litmus of Love
119404	U + Me = Photosynthesis
119500	Wrath of Red Sky (Deadly)
119501	Revenge of Red Sky (Merciless)
119600	New Testament (Deadly)
119601	A Cat Screaming Love (Merciless)
119700	Pain of Love
119701	No Right Swipes
119702	Arranged Marriage
119703	Biological Hourglass
119704	Settling Down
119800	Wrath of the Unholy (Deadly)
119801	Revenge of the Unholy (Merciless)
119900	Wrath of Carnage (Deadly)
119901	Revenge of Carnage (Merciless)
120000	にゃんコーラ味
120100	Honey Drip (Deadly)
120101	Royal Jelly Hell (Merciless)
120200	みやこめっせで開催！
120300	Revenge of the Wormhole (Merciless)
120301	Wrath of the Wormhole (Merciless)
120400	Sender Unknown
120500	Prisoner's Progress (Merciless)
120501	March to Death (Merciless)
120600	Play Battle Cats Together!
120601	Team Up & Win!
120602	Over 350 Cats!
120603	Play All You Want!
120604	Legend Stages Too!
120605	Minigames Galore!
120606	At the Nintendo eShop!
120607	But the App's Fun Too :)
120700	Revenge of N-1 (Merciless)
120701	Wrath of the Dogelord (Merciless)
120800	The Wild Dance (Deadly)
120801	Insane Rhythms (Merciless)
120900	CAT DAY
121000	Vanguard (Easy)
121001	Elite (Easy)
121002	Commander (Easy)
121100	Vanguard (Normal)
121101	Elite (Normal)
121102	Commander (Hard)
121200	Vanguard (Hard)
121201	Elite (Hard)
121202	Commander (Veteran)
121300	Vanguard (Veteran)
121301	Elite (Expert)
121302	Commander (Insane)
121400	Wrath of the Dreamer  (Deadly)
121401	Revenge of the Dreamer (Merciless)
121500	Puffer Planet (Merciless)
121600	7 Years of Fun!!
121700	The Pure Land (Merciless)
121800	差出人不明
121900	Saintly Sister (Merciless)
122000	I'll Be Bug (Merciless)
122100	Happy 2020!
122200	Spectrum of Truth (Deadly)
122300	Surprising #5
122301	Not Uncommon #4
122302	As Expected #3
122303	Runner-Up #2
122304	Unbelievable #1
122305	Unseen in 2019
122400	Joy & Prosperity
122500	Sender Unknown
122600	Flow Like the Stream (Merciless)
122700	Vanguard (Insane)
122701	Elite (Deadly)
122702	Commander (Deadly)
122800	Joy of 50 Million!
122900	Dogsville (Merciless)
123000	Golden Week Special!!
123100	Last of the Dead (Merciless)
123200	Baby Fake (Merciless)
123300	Compass Mound (Deadly)
123301	Atlas Archeology (Deadly)
123302	Church of Mercator (Merciless)
123400	Rites of Spring: Basic (Veteran)
123401	Rites of Spring: Standard (Expert)
123402	Rites of Spring: Advanced (Insane)
123403	Rites of Spring: Exalted (Deadly)
123404	Rites of Spring: Supreme (Deadly)
123500	Song of Summer: Basic (Expert)
123501	Song of Summer: Standard (Insane)
123502	Song of Summer: Advanced (Deadly)
123503	Song of Summer: Exalted (Deadly)
123504	Song of Summer: Supreme (Merciless)
123600	Feast of Fall: Basic (Insane)
123601	Feast of Fall: Standard (Deadly)
123602	Feast of Fall: Advanced (Deadly)
123603	Feast of Fall: Exalted (Merciless)
123604	Feast of Fall: Supreme (Merciless)
123700	Dance of Winter: Basic (Deadly)
123701	Dance of Winter: Standard (Deadly)
123702	Dance of Winter: Advanced (Merciless)
123703	Dance of Winter: Exalted (Merciless)
123704	Dance of Winter: Supreme (Merciless)
123800	Quarterfinals (Easy)
123801	Semifinals (Easy)
123802	Finals (Easy)
123900	Quarterfinals (Normal)
123901	Semifinals (Hard)
123902	Finals (Veteran)
124000	Quarterfinals (Veteran)
124001	Semifinals (Veteran)
124002	Finals (Expert)
124100	Quarterfinals (Expert)
124101	Semifinals (Insane)
124102	Finals (Deadly)
124200	Quarterfinals (Deadly)
124201	Semifinals (Deadly)
124202	Finals (Deadly)
124300	Guided by Currents (Merciless)
124301	Water Conservancy (Merciless)
124400	8 Years of Fun!
124500	Congrats on #5
124501	#4 As Expected
124502	Somehow #3
124503	#2 Out of Nowhere
124504	#1 Thanks to You!
124505	No New Appearances
124600	Possessed by Evil (Merciless)
124700	Creation's Gyre (Merciless)
124701	Extinction's Vortex (Merciless)
124800	Vanguard (Deadly)
124801	Elite (Deadly)
124802	Commander (Merciless)
124900	バニラ味 1枚目
124901	バニラ味 2枚目
124902	バニラ味 3枚目
124903	バニラ味 4枚目
124904	バニラ味 ラスト
125000	First Round (Easy)
125001	First Round (Expert)
125002	First Round (Deadly)
125100	No Plan A (Deadly)
125200	Honey Trap (Deadly)
125300	N-1 Grand Prix (Deadly)
125400	Joy of 60 Million!
125500	Forbidden Archives
125501	The Astral Plains
125502	Ritual Burns
125503	Otherworld Meadow
125600	Dimension Rift
125601	Ultramarine Castle
125602	Dangerous Backwater
125603	Sinister Wasteland
125700	Devil's Nest
125701	Cats of Evil
125800	Devil's Nest
125801	Demon's Wall
125900	Wrath of Hell (Deadly)
126000	Runaway Ball
126001	Kinetic Power
126002	Special 100kg Ball
126003	Red vs White
126004	Whose Ball is This?
126005	Covered in Dust
126006	Hats Blown Away
126007	Can't Stop Now
126100	Aim for the Top
126101	Power On Through
126102	Overcome The Odds
126103	Mistakes Don't Matter
126104	Good Effort
126200	VS Team White
126201	VS Team Red
126202	VS Team Black
126300	VS Team White
126301	VS Team Red
126302	VS Team Black
126400	VS Team White
126401	VS Team Red
126402	VS Team Black
126500	Frozen Wisdom
126501	Cursed Lake
126502	Cave of Magics
126503	Otherworld Forest
126600	Aku's Nest
126601	The Devil War
126700	267-00
126701	267-01
126702	267-02
126703	267-03
126704	267-04
126705	267-05
126706	267-06
126707	267-07
126800	The Gates of Aku
126900	Aku Studies 101: Intro
126901	Aku Studies 101: Methods
126902	Aku Studies 101: Field Research
126903	Aku Studies 101: Inquiry
127000	Aku Studies 201: Intro
127001	Aku Studies 201: Methods
127002	Aku Studies 201: Field Research
127003	Aku Studies 201: Inquiry
127100	Aku Studies 301: Intro
127101	Aku Studies 301: Methods
127102	Aku Studies 301: Field Research
127103	Aku Studies 301: Inquiry
127200	Aku's Melody (Merciless)
127300	Aku Reincarnation (Merciless)
127400	Aku's Murmur (Insane)
127401	Aku's Murmur (Deadly)
127402	Aku's Whisper (Deadly)
127403	Aku's Whisper (Merciless)
127500	Aku Studies 401: Intro
127501	Aku Studies 401: Methods
127502	Aku Studies 401: Field Research
127503	Aku Studies 401: Inquiry
127600	Aku Studies 501: Intro
127601	Aku Studies 501: Methods
127602	Aku Studies 501: Field Research
127603	Aku Studies 501: Inquiry
127700	Archaeology 101: Planning
127701	Archaeology 101: Methods
127702	Archaeology 101: Results
127703	Archaeology 101: Analysis
127800	278-00
127801	278-01
127802	278-02
127803	278-03
127900	279-00
127901	279-01
127902	279-02
127903	279-03
128000	280-00
128001	280-01
128002	280-02
128003	280-03
128100	281-00
128101	281-01
128102	281-02
128103	281-03
128200	隠れキャラは合計4体!
128201	はてなボックスを開き確かめろ!
128202	1体目は限定生産品!?
128203	感謝の気持ち入り!
128204	何かの記念メダル!?
128205	2体目は福を招く?
128206	縁起物!!
128207	3体目はミステリアスキャラ?
128208	エイリアンを斬る!!
128209	4体目は食べ物!?
128210	ファーストフード!?
128211	重量150グラム!!
128300	己の運を信じて進め！
128301	さすれば扉は開かれん
128302	開いた扉の先は…
128303	天国か地獄か
128304	いざ運試し！
128400	祝！９と１/２周年！！
128500	#5 Sliding
128501	#4 Blushing
128502	#3 That's Right
128503	#2 Good Try
128504	#1 Triple Crown
128505	Unseen
128600	Long-Awaited Gifts
128601	Today Only: Sociable
128602	Where's My Money, Mom?
128603	Brotherly Income Gap
128604	Increasing Sums
128605	Gifting Burden
128606	Grandpa's Lettering
128607	No Gift This Year
128700	Cave of Beginnings
128701	Dark Forest
